Name,Mean (ps),2*Stdev (ps)
All.Sequence.snoc many.RRBVector,635607340,50264194
All.Sequence.snoc many.FingerTree,258237007,22534708
All.Sequence.index many.Seq,400913112,28554336
All.Sequence.index many.MSeq,456628410,31894860
All.Sequence.index many.Sequence,828917221,44873578
All.Sequence.index many.RRBVector,146863900,13247588
All.Sequence.lookup many.Seq,406133687,21973560
All.Sequence.lookup many.MSeq,474128140,46213444
All.Sequence.lookup many.Sequence,826605371,42526770
All.Sequence.lookup many.RRBVector,27556065,1345466
All.Sequence.update many.Seq,1277811937,60548946
All.Sequence.update many.MSeq,1404698515,80367566
All.Sequence.update many.Sequence,1873158343,130311892
All.Sequence.update many.RRBVector,589464096,39484480
All.Sequence.insertAt many.Seq,1627795137,110363118
All.Sequence.insertAt many.MSeq,1496723662,109729360
All.Sequence.insertAt many.Sequence,1785856518,87701128
All.Sequence.insertAt many.RRBVector,31050525200,2388688114
All.Sequence.deleteAt many.Seq,1572267587,92117140
All.Sequence.deleteAt many.MSeq,1429829975,111892058
All.Sequence.deleteAt many.Sequence,1722947725,92601220
All.Sequence.deleteAt many.RRBVector,29485533800,2781681532
All.Sequence.uncons many.Seq,947902321,46837880
All.Sequence.uncons many.MSeq,842460684,49869738
All.Sequence.uncons many.Sequence,129450962,12076126
All.Sequence.uncons many.RRBVector,1575846712,84938354
All.Sequence.uncons many.FingerTree,359154900,23817946
All.Sequence.unsnoc many.Seq,904614075,49645502
All.Sequence.unsnoc many.MSeq,863992418,52336888
All.Sequence.unsnoc many.Sequence,130685780,11892624
All.Sequence.unsnoc many.RRBVector,379953714,25106738
All.Sequence.unsnoc many.FingerTree,366458792,26615664
All.Sequence.splitAt many.Seq,2186132837,182226066
All.Sequence.splitAt many.MSeq,2019284412,198220772
All.Sequence.splitAt many.Sequence,1731473381,93293004
All.Sequence.splitAt many.RRBVector,2063388625,197733534
All.Sequence.tails.Seq,2220895675,212521882
All.Sequence.tails.Sequence,18858,1500
All.Sequence.tails.Sequence each,626012840,17736780
All.Sequence.inits.Seq,2424639387,177319462
All.Sequence.inits.Sequence,21827,1586
All.Sequence.inits.Sequence each,610756050,54580210
All.Sequence.chunks 2.Seq,128564219,11035334
All.Sequence.chunks 2.Sequence,37581,3280
All.Sequence.chunks 2 nf.Seq,172412746,15137270
All.Sequence.chunks 2 nf.Sequence,399839178,26887200
All.Sequence.chunks sqrt.Seq,28127646,2801388
All.Sequence.chunks sqrt.Sequence,132713,12612
All.Sequence.chunks sqrt nf.Seq,62585150,3104482
All.Sequence.chunks sqrt nf.Sequence,100240896,6782448
All.Sequence.foldMap.Seq,16337844,1436466
All.Sequence.foldMap.MSeq,15735023,957698
All.Sequence.foldMap.Sequence,57990785,2982618
All.Sequence.foldMap.RRBVector,4516355,379616
All.Sequence.foldMap.FingerTree,169957915,12009358
All.Sequence.map.Seq,31770691,1495018
All.Sequence.map.MSeq,33755405,1960502
All.Sequence.map.Sequence,13737,806
All.Sequence.map.RRBVector,33247481,3313154
All.Sequence.map.FingerTree,37383,2820
All.Sequence.map nf.Seq,59854618,2674340
All.Sequence.map nf.MSeq,61896058,3841846
All.Sequence.map nf.Sequence,170628804,13248300
All.Sequence.map nf.RRBVector,105704087,5664890
All.Sequence.map nf.FingerTree,365550392,27251742
All.Sequence.imap.Seq,41380848,1333558
All.Sequence.imap.MSeq,33911677,3141906
All.Sequence.imap.Sequence,16232,1542
All.Sequence.imap.RRBVector,60617300,5541068
All.Sequence.liftA2.Seq,206438852,13991680
All.Sequence.liftA2.MSeq,199783764,18504890
All.Sequence.liftA2.Sequence,47346,3138
All.Sequence.<*.Seq,129448751,2781320
All.Sequence.<*.Sequence,26298,1446
All.Sequence.<*.RRBVector,10908265800,769787196
All.Sequence.*>.Seq,74477,6258
All.Sequence.*>.Sequence,28105,1454
All.Sequence.*>.RRBVector,9959322050,925684514
All.Sequence.>>= 1.Seq,104163651,6865210
All.Sequence.>>= 1.MSeq,143025355,10848406
All.Sequence.>>= 1.Sequence,11626324375,465743330
All.Sequence.>>= 1.RRBVector,198745315400,11201505612
All.Sequence.>>= 2.Seq,273395046,22467276
All.Sequence.>>= 2.MSeq,276368067,21448600
All.Sequence.>>= 2.Sequence,489178053,29384678
All.Sequence.>>= 2.RRBVector,54786244200,3654466716
All.Sequence.>>= 3.Seq,321393265,22032990
All.Sequence.>>= 3.MSeq,365718618,11477768
All.Sequence.>>= 3.Sequence,10631247675,496914230
All.Sequence.>>= 3.RRBVector,165343278000,11502962010
All.Sequence.filter.Seq,56698496,5409746
All.Sequence.filter.MSeq,55552144,3315390
All.Sequence.filter.Sequence,114177511,5548378
All.Sequence.mapMaybe.Seq,55637098,2820080
All.Sequence.mapMaybe.MSeq,54562882,3570844
All.Sequence.mapEither.Seq,220811785,21264488
All.Sequence.mapEither.MSeq,186551421,13230978
All.Sequence.span.Seq,30787766,1437176
All.Sequence.span.MSeq,32092491,3119092
All.Sequence.span.Sequence,62555425,5814512
All.Sequence.findIndex.Seq,14138629,897610
All.Sequence.findIndex.MSeq,25461927,1868602
All.Sequence.findIndex.Sequence,65947122,6347860
All.Sequence.findIndex.RRBVector,26641977,1980640
All.Sequence.reverse.Seq,69921158,5248730
All.Sequence.reverse.MSeq,70039536,6269032
All.Sequence.reverse.Sequence,13750,1362
All.Sequence.reverse.FingerTree,30529,1540
All.Sequence.reverse nf.Seq,104657290,5610666
All.Sequence.reverse nf.MSeq,101641936,5777788
All.Sequence.reverse nf.Sequence,181710210,13032722
All.Sequence.reverse nf.FingerTree,411448976,25056712
All.Sequence.intersperse.Seq,72476411,5902180
All.Sequence.intersperse.MSeq,79574760,5383950
All.Sequence.intersperse.Sequence,64448,5846
All.Sequence.intersperse nf.Seq,135579048,10664084
All.Sequence.intersperse nf.MSeq,136132302,12784680
All.Sequence.intersperse nf.Sequence,513272509,42339610
All.Sequence.scanl.Seq,32173424,2204118
All.Sequence.scanl.MSeq,34079637,2951578
All.Sequence.scanl.Sequence,39542,2826
